ts,ticker,side,count,price,cost,net_if_win,ann_yield,title
2026-08-16T05:18:26.345768+00:00,KXBOXING-26AUG15SHIELDSCOTT-SHIELD,YES,21,0.94,19.74,0.05,1.418,Claressa Shields vs Kaye Scott Winner?
2026-08-16T05:18:26.463610+00:00,KXNFLTOTAL-26SEP09NESEA-27,YES,21,0.93,19.53,0.06,0.879,Will there be over 26.5 points scored?
2026-08-16T05:18:26.572560+00:00,KXNFLTOTAL-26SEP10SFLAR-31,YES,21,0.93,19.53,0.06,0.847,Will there be over 30.5 points scored?
2026-08-16T05:18:26.678518+00:00,KXPGATOP20-FESJC26-SSCH,YES,20,0.98,19.6,0.01,0.134,FedEx St. Jude Championship: Will Scottie Scheffler finish top 2
2026-08-20T15:28:33.487506+00:00,KXWNBAGAME-26AUG20CONNLV-LV,YES,22,0.89,19.58,0.09,14.961,Connecticut vs Las Vegas women's Pro Basketball game: Las Vegas 
2026-08-21T15:29:37.423811+00:00,KXTRUMPMENTION-26AUG21-MAGA,YES,21,0.92,19.32,0.06,1.576,What will Donald Trump say during Rally with Senator Darline Gra
2026-08-21T15:29:37.833455+00:00,KXSENATEMAD-26-EMAR,YES,21,0.92,19.32,0.06,0.944,Wil Ed Markey be the Democratic nominee for the Senate in Massac
